"Code","Name","Count"
"A289","A289 Краснодар - Славянск-на-Кубани - Темрюк - автомобильная дорога А-290 Новороссийск - Керчь","7"
"KZ.M51","KZ.M51 М51 ""граница России (на Челябинск) - граница России (на Новосибирск)""","7"
"A114","A114 автодорога от Вологды до трассы ""Кола""","7"
"P189","P189 автодорога Короча - Старый Оскол - Горшечное","7"
"P316","P316 автодорога Стерлитамак - Магнитогорск","7"
"A300","A300 автодорога Самара - граница с Казахстаном","7"
"A143","A143 автодорога Тамбов - Шацк","7"
"P185","P185 автодорога Белгород - Россошь","7"
"A151","A151 автодорога Цивильск - Ульяновск","7"
"A290","A290 автодорога Новороссийск - порт ""Кавказ""","7"
"A291","A291 Таврида","7"
"A167","A167 автодорога Кочубей - Минеральные Воды","6"
"P151","P151 автодорога Ярославль - Рыбинск","6"
"P106","P106 автодорога Куровское - Самойлиха","6"
"A157","A157 автодорога Минеральные Воды (аэропорт) - А155 Карачаевск","6"
"P203","P203 Грязинское шоссе","6"
"P125","P125 автодорога Нижний Новгород - Ряжск","6"
"P178","P178 автодорога Саранск - Ульяновск","6"
"P231","P231 автодорога Сурское - Юнга (М7)","6"
"P169","P169 автодорога Киров - Вятские Поляны","6"
"P438","P438 автодорога Улан-Удэ - Курумкан","6"
"P504","P504 Колыма","6"
"A391","A391 автодорога Южно-Сахалинск - Корсаков","6"
"P241","P241 автодорога Казань - Ульяновск","6"
"A106","A106 Рублево-Успенское шоссе","6"
"P418","P418 автодорога Иркутск - Качуг","6"
"P110","P110 Фряновское шоссе","5"
"P214","P214 автодорога Астрахань - Камызяк","5"
"P501","P501 автодорога Якутск - Булгуннахтях","5"
"P398","P398 автодорога Томск - Колпашево","5"
"A155","A155 автодорога Черкесск - Домбай - граница с Абхазией","5"
"A129","A129 автодорога Санкт-Петербург - Сортавала","5"
"A349","A349 Барнаул - Рубцовск","5"
"BY.M6","BY.M6 М6 ""Минск - Гродно""","5"
"P208","P208 автодорога Тамбов - Пенза","5"
"P56","P56 автодорога Великий Новгород - Псков","5"
"A181","A181 Скандинавия","5"
"P447","P447 автодорога Находка - Кавалерово","5"
"P345","P345 автодорога Пермь - Усть-Качка","5"
"P126","P126 автодорога Рязань - Ефремов","5"
"A122","A122 Выборгское шоссе","5"
"P251","P251 автодорога Темрюк - Кропоткин","5"
"P71","P71 автодорога Сенинские Дворики - Кинешма","5"
"P80","P80 автодорога Иваново - Родники","4"
"P354","P354 автодорога Екатеринбург - Курган","4"
"A376","A376 Хабаровск - Лидога - Ванино - Комсомольск-на-Амуре","4"
"P161","P161 автодорога Навашино - Выкса","4"
"A310","A310 автодорога Челябинск - Троицк - граница с Казахстаном","4"
"P322","P322 автодорога Ижевск - Сарапул","4"
"P327","P327 автодорога Курган - граница с Казахстаном (на Кустанай)","4"
"P329","P329 автодорога Шадринск - Ялуторовск","4"
"A295","A295 автодорога Йошкар-Ола - Казань","4"
"A340","A340 Кяхтинский тракт","4"
"P162","P162 автодорога Малиновка - Порецкое","4"
"P449","P449 автодорога Лесное - Горячие Ключи","4"
"P266","P266 автодорога Светлоград - Буденновск","4"
"P194","P194 автодорога Девица - граница с Украиной","4"
"P436","P436 автодорога Улан-Удэ - Романовка - Чита","4"
"A113","A113 ЦКАД","4"
"P412","P412 автодорога Шарыпово - трасса М54 «Енисей» (173 км)","4"
"P392","P392 автодорога Красный Яр - Тара","4"
"A160","A160 автодорога Майкоп - Кореновск","4"
"A123","A123 Приморское шоссе","4"
"A165","A165 автодорога Лермонтов - Черкесск","4"
"P368","P368 автодорога Бийск - Белокуриха","4"
"P98","P98 автодорога Кострома - Верхнеспасское","4"
"P204","P204 автодорога Мичуринск - Липецк","3"
"P235","P235 автодорога Балашов - Ртищево","3"
"P94","P94 автодорога Перемышль - Сухиничи","3"
"P328","P328 автодорога Шумиха - граница с Казахстаном (на Кустанай)","3"
"A119","A119 автодорога Вологда - Медвежьегорск - Р21 «Кола»","3"
"A121","A121 Сортавала","3"
"P263","P263 автодорога Подгорная - Лагань","3"
"P92","P92 автодорога Калуга - Орел","3"
"A136","A136 Ростовское шоссе","3"
"A135","A135 Восточное шоссе","3"
"P321","P321 автодорога Ижевск - Глазов","3"
"A111","A111 подъезд к ""Завидово""","3"
"P93","P93 автодорога Медынь - Калуга","3"
"P265","P265 автодорога Черкесск - Архыз","3"
"P60","P60 автодорога Псков - Краколье","3"
"P410","P410 автодорога Канск - Троицк","3"
"P440","P440 Джидинский тракт","3"
"A320","A320 автодорога Омск - Черлак - граница с Казахстаном","3"
"P141","P141 автодорога Лапотково - Ефремов","3"
"P375","P375 автодорога Бийск - Артыбаш","3"
"A158","A158 автодорога Прохладный - Эльбрус","3"
"BY.M1","BY.M1 М1 ""Брест - Минск - граница России""","3"
"A212","A212 автодорога Псков - граница с Эстонской Республикой","3"
"P72","P72 автодорога Владимир - Арзамас","3"
"P330","P330 автодорога Шадринск - Миасское","3"
"A148","A148 Дублер Курортного проспекта","3"
"P172","P172 автодорога Йошкар-Ола - Уржум","3"
"A280","A280 автодорога Ростов-на-Дону - Максимов граница с Украиной","3"
"A305","A305 автодорога Оренбург - Илек","3"
"A184","A184 автодорога Уссурийск - Пограничный","3"
"P36","P36 автодорога Ладейное Поле - Чудово","3"
"P166","P166 автодорога Киров - Белая Холуница","3"
"P167","P167 автодорога Киров - Стрижи","3"
"P295","P295 автодорога Владикавказ - Второй Лескен","2"
"P96","P96 автодорога Новоалександровский (А130) - Починок","2"
"P51","P51 автодорога Шимск - Невель","2"
"P508","P508 автодорога Калининград - Неман","2"
"P503","P503 автодорога Якутск - Намцы","2"
"P468","P468 автодорога Благовещенск - Углегорск","2"
"P278","P278 автодорога Хасавюрт - Тлох","2"
"P275","P275 автодорога Махачкала - Гуниб","2"
"P48","P48 автодорога Яжелбицы - Сольцы","2"
"P413","P413 автодорога Заозерный - Агинское","2"
"P99","P99 автодорога Кострома - Буй","2"
"P279","P279 автодорога Хасавюрт - Бабаюрт","2"
"P367","P367 автодорога Мартыново - Залесово","2"
"P307","P307 автодорога Ищерская - Грозный","2"
"P370","P370 автодорога Поспелиха - граница с Казахстаном","2"
"P369","P369 автодорога Красный Маяк (Р368) - Черга","2"
"P8","P8 автодорога Устюжна - Валдай","2"
"P343","P343 автодорога Кунгур - Соликамск","2"
"P34","P34 автодорога Рощино - Запорожское","2"
"P355","P355 автодорога Екатеринбург - Полевской","2"
"P81","P81 автодорога Кинешма - Чкаловск","2"
"P68","P68 автодорога Брянск - Куземки","2"
"P403","P403 автодорога Ишим - граница с Казахстаном (на Петропавловск)","2"
"P53","P53 автодорога Спасская Полисть - Боровичи","2"
"P6","P6 автодорога Мостовая - Липин Бор","2"
"P400","P400 автодорога Томск - Мариинск","2"
"P90","P90 Суконниково (М1) - автодорога Тверь (М10)","2"
"P371","P371 автодорога Алейск - граница с Казахстаном (на Павлодар)","2"
"P40","P40 автодорога Кемполово - Шапки","2"
"P372","P372 автодорога Родино - Благовещенка","2"
"P136","P136 автодорога Витязи - Нелидово","2"
"A193","A193 автодорога Калиниград - Балтийск","2"
"P134","P134 автодорога Смоленск - Зубцов","2"
"A195","A195 автодорога Калиниград - Багратионовск (граница с Польшой)","2"
"P133","P133 автодорога Ольша - Невель","2"
"P139","P139 автодорога Тула - Белев","2"
"P173","P173 автодорога Йошкар-Ола - Кадикасы (М7)","2"
"P186","P186 автодорога Белгород - граница с Украиной","2"
"A18","A18 Джанкой - Армянск","2"
"P160","P160 автодорога Линда - Заволжье","2"
"A190","A190 автодорога Васильково (Калининград) - Полесск - Советское","2"
"P127","P127 автодорога Пехлец - Скопин","2"
"A301","A301 автодорога Беслан - Нижний Ларс до границы с Грузией","2"
"P107","P107 автодорога Клин - Лотошино","2"
"A371","A371 Владивосток - остров Русский","2"
"BY.M9","BY.M9 Минская кольцевая автомобильная дорога","2"
"P1","P1 автодорога Брин-Наволок (М8) - Прокшино (А119)","2"
"P108","P108 автодорога Суворово - Руза","2"
"P113","P113 Рогачёвское шоссе","2"
"A215","A215 Лодейное Поле - Вытегра - Прокшино - Плесецк - Брин-Наволок","2"
"A229","A229 автодорога Калининград - Чернышевское","2"
"P109","P109 Монинское шоссе","2"
"P112","P112 автодорога Жестылево - Темпы","2"
"P187","P187 автодорога Новый Оскол - Ровеньки","2"
"A128","A128 Дорога жизни","2"
"A109","A109 Ильинское шоссе","2"
"P193","P193 автодорога Воронеж - Тамбов","2"
"A149","A149 Старое Краснополянское шоссе","2"
"P209","P209 автодорога Кирсанов - Пенза","2"
"P199","P199 автодорога Селиховы Дворы - граница с Украиной","2"
"P190","P190 автодорога Лукьяновка - Тим","2"
"P270","P270 автодорога Егорлыкская - Сальск","2"
"A105","A105 автодорога в аэропорт Домодедово","2"
"A134","A134 автодорога М4 ""Дон"" - Воронеж","2"
"P50","P50 автодорога Демянск - Марево","1"
"P87","P87 автодорога Ржев - Осташков","1"
"P85","P85 автодорога Вышний Волочек - Сонково","1"
"A133","A133 М4 ""Дон"" - Елецкая Лазовка - Боринское - Липецк","1"
"A132","A132 автодорога М1 ""Беларусь"" - Смоленск","1"
"A333","A333 автодорога Култук - граница с Монголией","1"
"A270","A270 автодорога Майский - МАПП ""Должанский"" граница с Украиной","1"
"P437","P437 автодорога Романовка - Багдарин","1"
"P271","P271 автодорога Миллерово - Вешенская","1"
"A117","A117 автодорога Опочка - раница с Белоруссией","1"
"P461","P461 автодорога Благовещенск - Облучье","1"
"P456","P456 автодорога Бирофельд - Амурзет","1"
"A115","A115 автодорога Зуево - Новая Ладога","1"
"P75","P75 автодорога Верхние Дворики - Хрястово","1"
"P74","P74 автодорога Владимир - Переславль-Залесский","1"
"P516","P516 автодорога Калининград - граница с Польшей","1"
"A192","A192 автодорога Зеленоградск - Приморск","1"
"P7","P7 автодорога Чекшино - Никольск","1"
"A154","A154 автодорога Урвань - Верхняя Балкария","1"
"A164","A164 Транскам","1"
"A162","A162 автодорога Владикавказ - Алагир","1"
"P510","P510 автодорога Добровольск - граница с Польшей","1"
"A196","A196 автодорога Калининград - Крылово","1"
"A161","A161 автодорога Владикавказ - Нижний Ларс","1"
"A198","A198 автодорога Советск - Гусев","1"
"P502","P502 автодорога Якутск - Амга","1"
"A153","A153 автодорога Нытва - Кудымкар","1"
"P79","P79 автодорога Ново-Талицы (Иваново) - Шопша (Ярославль)","1"
"A142","A142 автодорога Тросна - Калиновка","1"
"A194","A194 автодорога Калининград - граница Республики Польши","1"
"BY.M10","BY.M10 М10 ""граница России - Кобрин""","1"
"P196","P196 автодорога Постоялый (Р194) - Александровка Донская (М4)","1"
"P19","P19 автодорога Петрозаводск - Ошта","1"
"P2","P2 автодорога Долматово - Пудож","1"
"P308","P308 автодорога Червленная - Грозный","1"
"P205","P205 автодорога Липецк - Данков","1"
"P179","P179 автодорога Саранск - Рузаевка","1"
"P35","P35 Гостилицкое шоссе","1"
"P18","P18 автодорога Беломорск - Пушной (Р21 ""Кола"")","1"
"P188","P188 автодорога Старый Оскол - Новый Оскол","1"
"P337","P337 автодорога Сара - Юлдыбаево","1"
"P306","P306 автодорога Аргун - Буйнакск","1"
"P280","P280 автодорога Манаскент - Первомайское","1"
"P288","P288 автодорога Нальчик - Майский","1"
"P26","P26 автодорога Сыктывкар - Троицко-Печорск","1"
"P277","P277 автодорога Гунибское шоссе - Вантляшевский перевал","1"
"P267","P267 автодорога Ставрополь - аэропорт Шпаковское","1"
"P234","P234 автодорога Елшанка (Саратов) - Песчаный Умет","1"
"P227","P227 автодорога Сызрань - Усолье","1"
"P296","P296 автодорога Моздок - Владикавказ","1"
"P290","P290 автодорога Прохладный - Эльхотово","1"
"P252","P252 автодорога Светлый Путь - Анапа","1"
"P401","P401 автодорога Тюмень - аэропорт Рощино","1"
"P101","P101 автодорога Островское - Кинешма","1"
"P399","P399 автодорога Каргала - Бакчар","1"
"P114","P114 автодорога Кашира - Узловая","1"
"P393","P393 автодорога Омск - граница с Казахстаном","1"
"P411","P411 автодорога Абакан - Саяногорск","1"
"BY.M3","BY.M3 М3 ""Минск - Витебск""","1"
"P10","P10 автодорога Лиинахамари — граница Финляндии (Виртаниеми)","1"
"P100","P100 автодорога Судиславль - Солигалич","1"
"P41","P41 автодорога Павлово - Луга","1"
"P116","P116 автодорога Дубна - Горицы","1"
"P148","P148 автодорога Щекино - Арсеньево","1"
"P146","P146 автодорога Чекалин - Ханино","1"
"P153","P153 автодорога Углич - Ростов","1"
"P168","P168 автодорога Киров - Нижнеивкино","1"
"P353","P353 автодорога Нижний Тагил - Нижняя Салда","1"
"P38","P38 автодорога Гатчина - Ополье","1"
"P124","P124 автодорога Шацк - Касимов","1"
"P373","P373 автодорога Иня - Туекта","1"
"P137","P137 автодорога Сафоново - Рославль","1"
"P130","P130 автодорога Демидов - Рудня","1"
